ID,Notional,MtM,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,1y,2y,3y,4y,5y,10y
56,26515000,-107000,-0.002870265,-0.012040913,172.091242,207.5301428,-0.067549625,-199.3697823,-0.129262357,-0.172102166,415.9282232,420.0617849,-0.313230231,25510.94586,20111.23059,0,0,0,0
57,23485000,-187000,-0.002381536,-0.009422381,159.8009027,184.1034321,-0.061303166,-580.4164017,-0.114885255,-0.158489485,395.1720038,395.5892973,-0.277078623,-606.0093609,-3.680556775,24.30911349,88577.45006,46819.16509,0
58,26515000,-99000,-0.003044506,-0.010985551,172.3490731,207.0682748,-0.066576119,-192.0232046,-0.122700061,-0.152936184,419.081341,495.5987636,-0.299061816,24636.11534,22762.92255,0,0,0,0
59,53030000,202000,0.005684363,0.024057995,-373.616328,-407.0161787,0.141507609,372.7981439,0.234766365,0.35759756,-864.9002398,-828.5492755,0.579746471,-50864.58406,-44265.38803,0,0,0,0
60,51288000,94000,-5.16486E-06,-2.97857E-06,10211.59356,11396.43655,0.123530874,365.1431691,0.225478516,0.30434907,0.408939199,0.433232754,0.616387275,-45540.52331,-40708.45335,0,0,0,0
61,23485000,178000,0.002378712,0.010668391,-159.8372906,-164.3686461,0.05922442,608.3644741,0.10163339,0.135512332,-385.8125387,-425.6282731,0.238922849,541.6942742,3.175337473,-23.84417978,-86990.10101,-46192.7521,0
62,227273000,-396000,2.05663E-05,1.42319E-05,-45903.44238,-54537.23054,-0.556217042,-1671.02433,-1.131501093,-1.350156478,-1.926924922,-2.262089226,-2.439249379,227441.9037,199800.8036,0,0,0,0
63,11742000,89000,0.001365731,0.004917519,-76.31487636,-105.5717768,0.026922227,269.8038933,0.060667217,0.066542929,-196.1733877,-215.7997119,0.114685611,277.096303,1.765613354,-12.72392209,-39950.58884,-21146.38114,0
64,159091000,119000,0.016140251,0.071274281,0.149320139,0.26341232,0.387861068,-90489.46448,-44060.77528,0,0,0,0,0,0,0,0,0,0
65,27197000,-118000,-0.002875727,-0.011130323,136.1729597,253.1336954,-0.068633368,-222.5533046,-0.123620726,-0.176676991,380.8617545,602.6870411,-0.308355151,24383.34071,24084.52614,0,0,0,0
66,11970000,-103000,-0.001352324,-0.004910554,64.81692386,114.2575655,-0.030792921,-263.1017546,-0.054095999,-0.072216622,172.5487235,225.5488423,-0.13741601,-267.6543493,3.361773045,17.34485552,47278.6116,24238.41683,0
67,27197000,-118000,-0.002819704,-0.01071422,98.6548017,315.0559172,-0.06235178,-204.7135186,-0.123718035,-0.160937942,353.467244,609.8674422,-0.287135666,25980.41558,22920.77824,0,0,0,0
68,11970000,-131000,-0.001307693,-0.005400492,31.03764767,138.0520608,-0.029898603,-297.4289563,-0.061468172,-0.066990325,84.16669986,322.2642019,-0.119517549,-306.962966,-2.352924349,8.193159993,44112.89174,27522.25833,0
69,23939000,-263000,-0.002456335,-0.009287879,64.40351164,322.8773743,-0.062353048,-553.844706,-0.118621731,-0.133941422,165.4886335,694.7499689,-0.24313841,-561.1277355,-4.328792047,17.00316762,92481.45362,46940.56946,0
70,52803000,-99000,-0.005449573,-0.024081158,3858.022826,23520.90282,0,0,0,0,0,0,0,0,0,0,0,0,0
71,211212000,-397000,-0.022266325,-0.100199297,15102.5599,90980.37524,0,0,0,0,0,0,0,0,0,0,0,0,0
72,5136000,70000,0.000553474,0.002199021,0.004665435,-84.06375813,-6.890446717,117.5192781,0.022227728,0.029119724,0.039195045,-180.8202625,-14.30829048,136.0282435,2.511786857,-9.217536325,-19312.29004,-12610.79883,0
73,1779000,2000,0.000184157,0.000734278,-590.7471628,-193.9235267,0,0,0,0,0,0,0,0,0,0,0,0,0
74,121250000,153000,0.014523577,0.054188827,-39249.0041,-13597.16165,0,0,0,0,0,0,0,0,0,0,0,0,0
75,5638000,7000,0.000650494,0.002354743,-1872.56761,-645.4549313,0,0,0,0,0,0,0,0,0,0,0,0,0
76,17414000,22000,0.002058823,0.007701682,-5537.292008,-2079.822434,0,0,0,0,0,0,0,0,0,0,0,0,0
77,4178000,5000,0.000513882,0.001963815,-1320.938773,-477.764891,0,0,0,0,0,0,0,0,0,0,0,0,0
78,3881000,-21000,-0.000465455,-0.001490464,41.37523761,12.98798248,-0.010441201,-86.67691395,-0.016612458,-0.021891931,88.59205945,33.23826304,-0.04086904,-84.82928112,-0.553917496,3.871290049,15776.40564,6887.482793,0
79,27021000,-144000,-0.002778795,-0.01078542,253.5949179,84.50009459,-0.067266858,-635.4347378,-0.133751375,-0.149813829,610.180025,245.7469836,-0.305813327,-550.482123,-7.909376284,28.00538659,98629.72495,47519.89579,0
80,1257000,-7000,-0.000140453,-0.00049519,11.3946224,4.003671107,-0.002878135,-32.05784367,-0.006063315,-0.007581352,33.02931291,11.73275066,-0.014340311,-29.90024805,-0.16203719,1.283359746,4827.944608,2310.580186,0
81,931000,-5000,-0.000107887,-0.000393048,8.854126574,2.86745098,-0.002084248,-21.2622604,-0.004340149,-0.005768877,21.6203783,8.426055179,-0.009857749,-22.2404713,-0.118985302,0.902086913,3760.147035,1661.363406,0
82,4407000,6000,0.000461469,0.002033482,-1560.148087,-482.6686221,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4424000,6000,0.00050882,0.001769925,-1450.031819,-512.7922201,0,0,0,0,0,0,0,0,0,0,0,0,0
84,397000,-2000,-4.25101E-05,-0.000169109,3.70506679,1.286470906,-0.001059743,-10.16942513,-0.001808802,-0.002659517,9.81906317,3.494081478,-0.004288274,-9.281828837,-0.057296926,0.415917667,1430.103291,683.1539743,0
85,982000,-5000,-0.000109121,-0.000386798,9.760587736,3.505639283,-0.002646421,-24.23473256,-0.004751852,-0.006259683,22.39518439,7.769446701,-0.011151865,-22.17938272,-0.128690253,0.923212984,3869.407289,1659.826701,0
86,986000,-5000,-0.00010614,-0.000377624,10.35196361,3.374314565,-0.002455751,-22.7124561,-0.004871647,-0.006415659,24.16079363,7.727700016,-0.010402308,-20.4524783,-0.129444878,1.019990433,3963.815091,1735.089371,0
87,27197000,-112000,-0.002787454,-0.011051717,-0.027409579,336.3078325,145.8734673,-234.7120488,-0.136139508,-0.163056688,-0.219781564,738.5288392,293.3302209,24718.66677,25409.1761,0,0,0,0
88,11970000,77000,0.001312371,0.004648374,0.013203313,-138.0819063,-58.58959311,299.091875,0.062207983,0.066905975,0.089415556,-303.6597377,-127.8508784,317.4780073,2.324162355,-7.603270106,-43706.0387,-30833.87674,0
89,11970000,126000,0.001285939,0.00539301,0.010855025,-85.39449306,-131.6860439,298.1138085,0.057308721,0.077625687,0.090559022,-206.6433204,-214.0181449,379.8365029,6.926045791,-9.898760322,-35046.57836,-27606.88188,0
90,3942000,-36000,-0.000428442,-0.001508398,-0.003993123,38.88590172,32.07255678,-100.5184524,-0.019699193,-0.022654235,-0.028200793,82.65109251,51.58855742,-103.6211921,1.4771591,3.105542292,12701.30486,9749.824036,0
91,4942000,-45000,-0.000535388,-0.002089231,-0.004864968,44.38257686,41.26276053,-116.2726591,-0.02148324,-0.030551823,-0.039085716,110.0299397,60.71285071,-147.6148493,1.617377246,3.98914218,14908.91134,11098.47959,0
92,21991000,45000,0.002371664,0.009586972,0.022636633,-6980.991604,-6380.063898,0,0,0,0,0,0,0,0,0,0,0,0
93,109601000,-999000,-0.011137596,-0.044822178,-0.099788786,1016.890829,957.1570877,-2567.295934,-0.503706133,-0.699831795,-0.867120297,2327.063285,1481.077827,-3419.810444,35.28533437,80.29359958,379644.3374,241223.2568,0
94,17542000,36000,0.0019548,0.007043711,0.017806849,-4935.7747,-4560.802148,0,0,0,0,0,0,0,0,0,0,0,0
95,22643000,-29000,-0.002607386,-0.00961546,7972.852881,2561.622077,0,0,0,0,0,0,0,0,0,0,0,0,0
96,5036000,25000,0.00052046,0.00222307,-45.22982748,-17.98151442,0.011549369,129.6120551,0.025723644,0.033176883,-132.5979431,-44.42326803,0.050485521,117.6168462,0.720696549,-4.629632897,-20947.93651,-8397.78483,0
97,487740000,999000,0.050480203,0.191193076,0.520730983,-147178.3417,-135094.3606,0,0,0,0,0,0,0,0,0,0,0,0
98,17700000,-23000,-0.002134237,-0.007840971,5371.964336,1981.654789,0,0,0,0,0,0,0,0,0,0,0,0,0
99,486931000,-626000,-0.055689766,-0.209523839,153430.462,50225.10884,0,0,0,0,0,0,0,0,0,0,0,0,0
100,3937000,19000,0.000393282,0.001552267,-38.91550187,-11.89847492,0.009187906,87.90894876,0.020306961,0.021920942,-104.6783773,-32.80745684,0.043647317,84.85460852,0.574577465,-3.846869151,-15743.09202,-6702.250843,0
101,108300000,535000,0.013068637,0.047131281,-1068.502566,-326.7991208,0.271689726,2794.51752,0.5298082,0.633902707,-2535.545115,-980.5252139,1.240449238,2399.275423,30.49927944,-106.6937143,-427085.2351,-213930.7531,0
102,5455000,-26000,-0.000637774,-0.0024978,67.18436353,6.534471627,-0.014823702,-35.38649269,-0.024064525,-0.031281534,148.2940609,29.86827452,-0.055627498,5777.937929,4194.188159,0,0,0,0
103,35909000,-136000,-0.004168516,-0.013963329,-0.032320239,199.2900976,492.0582338,-839.1555317,-0.179018407,-0.230324145,-0.274174662,398.3952989,978.0050385,-1056.560173,0.619223396,6.373070388,121244.8035,82256.32941,0
104,81591000,-183000,-0.009378036,-0.031404138,-0.081880019,455.3387878,1080.210352,-787.9380893,-0.40513616,-0.490541113,-0.684688361,980.5181251,2223.325235,65760.75795,97892.20285,0,0,0,0
105,54394000,-150000,-0.005375152,-0.024067875,-0.051225063,240.6666106,776.6772626,-473.909924,-0.276260954,-0.354086302,-0.415797076,527.8323973,1643.433092,47645.74362,65512.54336,0,0,0,0
106,23939000,100000,0.002385382,0.01090897,0.022386832,-101.2616976,-319.7772591,610.0543624,0.114043493,0.15938319,0.187775909,-241.3322734,-675.1792914,796.9844648,4.539585889,-3.410870792,-74823.82098,-66509.68503,0
107,23939000,100000,0.002553073,0.009431865,0.02513626,-99.35667137,-344.8371172,566.0562886,0.119374784,0.157454244,0.182391579,-214.3757143,-697.4679881,800.7287329,3.948355057,-3.422925965,-79727.63895,-60099.4089,0
108,27197000,-64000,-0.003130718,-0.011041799,-0.028390485,110.6337093,358.5514098,-284.7412054,-0.128981922,-0.155079837,-0.228031132,235.483634,762.9667433,20805.87493,28752.56153,0,0,0,0
109,11970000,22000,0.001287438,0.004859468,0.012659113,-45.87676515,-160.7063032,295.5878206,0.0617154,0.070069974,0.089004586,-87.59027075,-367.7469305,414.1567056,4.611282413,-15.86089224,-38150.3212,-29074.55839,0
110,14470000,-44000,-0.001671534,-0.006029074,-0.013064357,57.64621216,213.4142646,-364.7370535,-0.073985913,-0.095744359,-0.1022513,118.9191767,450.6140644,-503.0241459,-5.775601153,34531.71718,34053.07297,0,0
111,23939000,58000,0.002353139,0.009746986,0.022726262,-75.97316546,-374.4327295,614.3953643,0.114923656,0.140640424,0.171450335,-168.7971096,-784.2702492,825.7422241,-10.64828836,-17.53802396,-74179.71625,-67070.65427,0
112,52803000,-18000,0.006221323,0.024957467,0.055244157,-6246.405073,-24318.89175,0,0,0,0,0,0,0,0,0,0,0,0
113,23939000,68000,0.002742788,0.010340415,0.025726618,0.039359122,-469.2041923,596.268677,0.110876503,0.159142318,0.181886703,-79.24106175,-817.9829334,838.3404513,3.665750923,-9.18689633,-79613.79102,-68404.49714,0
114,105606000,28000,-0.011305305,-0.048608762,-0.116182875,-0.179943285,67358.66708,0,0,0,0,0,0,0,0,0,0,0,0
115,11970000,-22000,-0.001201061,-0.004829019,-0.010774797,-0.01996234,212.8591296,-272.382906,-0.052917945,-0.076008532,-0.097932527,14.8875416,431.1107556,-412.7435976,-1.960326954,4.412971206,34414.04155,33871.14321,0
116,279091000,-85000,0.030032144,-73617.05486,-5982.146043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,211212000,11000,-0.022859858,-0.094121223,-0.239973749,-0.381319862,124109.4643,20521.83645,0,0,0,0,0,0,0,0,0,0,0
118,27197000,-54000,-0.002681633,-0.011832484,-0.025609733,-0.050270978,468.219172,-193.5812686,-0.123241427,-0.17732627,-0.220874956,-0.270837517,820.5289624,22624.52475,30387.74153,0,0,0,0
119,11970000,-1000,0.001377392,0.005312983,0.011742082,0.018417481,-185.4507823,273.8379424,0.055569271,0.077472009,0.090724644,0.108372562,-390.1311976,325.6967539,3.905014422,-7.875130297,-35005.47318,-31312.33564,0
120,27197000,-52000,-0.003017444,-0.012425703,-0.028052184,-0.041408032,500.6119592,-182.8205266,-0.116890928,-0.156300804,-0.207412353,-0.234978306,808.13355,22485.47151,35576.91826,0,0,0,0
121,27197000,-55000,-0.003083281,-0.011358502,-0.029704465,-0.043638588,388.3396898,-150.1881106,-0.133436085,-0.17057564,-0.189656864,-0.239332434,754.8276744,18545.28457,36870.11005,0,0,0,0
122,27197000,-53000,-0.003162801,-0.011042116,-0.027538089,-0.046627126,406.4527019,-147.510646,-0.129063701,-0.171450616,-0.192608847,-0.226689777,755.2200961,18018.28933,31508.78436,0,0,0,0
123,27197000,-59000,-0.003084747,-0.011131697,-0.029419158,-0.046140322,294.1858905,-49.73328438,-0.131061149,-0.153263717,-0.227143476,-0.239480994,659.6455038,19527.31353,35305.74071,0,0,0,0
124,35909000,67000,0.003894264,0.013451257,0.032942237,0.054662923,-389.3358433,505.7555308,0.170108257,0.22756918,0.29786684,0.328297227,-760.6888666,711.162453,20.67369625,-65.37877632,-109428.4258,-111024.0474,0
125,35909000,53000,0.004245541,0.015085203,0.037106709,0.055490129,-388.333044,451.6953388,0.161854575,0.222029722,0.292194916,0.330552494,-708.4406477,713.6509708,17.49925056,-60.10695556,-93747.43138,-99044.58385,0
126,23939000,11000,-0.002591627,-0.009135137,-0.025113008,-0.043043379,240.3480154,-328.3991502,-0.115659946,-0.134469679,-0.194085011,-0.237906067,441.9862276,-380.6311551,-18.2146079,28.68035525,60734.1906,68485.85219,0
127,105606000,-17000,0.012435023,0.042944664,0.099028916,0.188878964,-38316.45364,-40880.93775,0,0,0,0,0,0,0,0,0,0,0
128,81818000,-219000,-0.0090926,-0.031740884,-0.081942032,-0.128600499,808.5835126,-48.87326109,-0.419120114,-0.46085791,-0.683502619,-0.822628935,1646.149315,56331.84363,104967.1787,0,0,0,0
129,35227000,38000,0.004006093,0.014794967,0.035130243,0.056523058,-345.3897256,507.0901631,0.158708384,0.231096972,0.282248792,0.296813246,-729.4367809,599.9999883,34.04780534,-56.30419994,-100829.0591,-110010.6916,0
130,11970000,15000,0.001349397,0.005376279,0.012617425,0.020394871,-122.5345458,144.5595167,0.058733224,0.070234152,0.085214248,0.100086711,-230.2889615,187.1740169,10.5314804,-18.49256961,-36746.42559,-36237.90908,0
131,11667000,-13000,-0.001250762,-0.005323624,-0.010967557,-0.019278177,128.0751224,-160.8692397,-0.05545477,-0.073651971,-0.090898195,-0.097737537,252.0061963,-180.6505425,-11.72765928,15.72587969,33226.44695,33398.03659,0
132,11939000,-32000,-0.001187433,-0.004812288,-0.012925912,89.8619502,120.6445778,-295.3888892,-0.051762735,-0.078087764,-0.084014872,201.9979462,234.6553594,-366.1605498,-8.499443583,9.349841336,41736.8524,28445.96786,0
133,27273000,79000,0.002926457,0.012088992,0.026527352,0.045369303,-277.9398582,17.33203382,0.133611819,0.157128335,0.192535895,0.273670164,-588.5544348,-20471.42574,-36009.81247,0,0,0,0
134,11970000,-29000,-0.001396888,-0.004896034,-0.01079963,-0.019023202,127.9670739,-165.214521,-0.057637347,-0.067797894,-0.099206979,-0.120993799,259.0626397,-200.9474707,-12.58221926,18.14997235,31599.85416,33449.7471,0
135,23939000,-152000,-0.002632629,-0.01051339,-0.025224894,-0.039123543,89.18767852,-116.1419322,-0.120233372,-0.143443413,-0.195679542,-0.207550127,149.8953175,-144.5151695,-0.993411655,-9.946274771,62171.15443,73341.77333,0
136,52803000,-61000,-0.006306137,-0.024181394,-0.049464405,-0.085648062,4706.816947,37832.89988,0,0,0,0,0,0,0,0,0,0,0
137,54394000,312000,0.006379442,0.020552661,0.058717608,0.093390935,-162.1640549,-469.1244048,0.274452192,0.349067867,0.419832238,0.529705839,-252.5237899,-38365.73259,-74697.5592,0,0,0,0
138,23939000,-305000,-0.002501208,-0.010529081,-0.02568803,-0.03998668,69.64225852,-97.21872074,-0.115214904,-0.157349439,-0.193447323,-0.206134734,103.7517721,-86.80866169,-7.560971617,-0.185173883,60451.48768,76289.46077,0
139,54394000,320000,0.006100143,0.024423867,0.051342534,0.094924786,-153.7181468,-427.7788196,0.274583037,0.302278457,0.435836955,0.473483901,-247.364828,-40912.39226,-74941.02253,0,0,0,0
140,27197000,160000,0.002999163,0.0108026,0.025590315,0.041188593,-86.19565236,-235.4499441,0.118856881,0.156179934,0.195263325,0.23116374,-116.560594,-20300.52682,-36690.35806,0,0,0,0
141,23939000,-315000,-0.002754239,-0.009409602,-0.022085996,-0.042004827,-0.061242603,-0.001330905,-0.120989756,-0.141361984,-0.199403825,-0.242016096,-0.268412065,-0.164954087,-0.63164199,-1.424104614,59694.86343,71547.9533,0
142,81591000,470000,0.008910017,0.033941873,0.074709675,0.126440654,0.224234656,-904.6550239,0.41700616,0.480035888,0.637025383,0.717812837,0.828009893,-59367.38884,-119564.2501,0,0,0,0
143,56136000,-513000,-0.005801232,-0.023008395,-0.055682359,-0.100301434,-0.141607241,-0.003003161,-0.28270766,-0.310086025,-0.419139416,-0.513187304,-0.599080381,-0.344718196,76994.15131,125424.057,0,0,0
144,56136000,-513000,-0.006301422,-0.021003975,-0.060124483,-0.086451296,-0.128046339,-0.003115688,-0.255353608,-0.336341316,-0.436943365,-0.47647048,-0.66370485,-0.406173934,75212.48234,127409.4549,0,0,0
145,27197000,153000,0.002941867,0.011486185,0.028097405,0.049019048,0.06342552,-299.7221581,0.130358817,0.167003535,0.221352741,0.228007864,0.308688211,-20370.68733,-35377.7909,0,0,0,0
146,69697000,51000,0.007174438,0.027283798,-27716.9477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,53030000,-70000,-0.005593673,-0.023686422,-0.05543374,-0.085883513,-0.133050139,38175.73962,0,0,0,0,0,0,0,0,0,0,0
148,27197000,155000,0.003003367,0.012196668,0.025749819,0.044478256,0.069638098,-294.0942057,0.118111571,0.163427539,0.205131414,0.234791093,0.271602566,-18540.19478,-41827.53998,0,0,0,0
